epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.4449,1.51746,3.89121,1.47231,0.89424,0.19413,0.24959,0.15192,1.37009,2.9464,1.32693,0.000235133,0.000235133,0.000235133
2,116.616,1.40406,2.50042,1.35568,0.51298,0.50134,0.44176,0.28546,1.39772,2.03852,1.40789,0.000468449,0.000468449,0.000468449
3,167.739,1.37184,2.06345,1.34441,0.54904,0.49132,0.44843,0.27823,1.41967,2.45541,1.40183,0.000697052,0.000697052,0.000697052
4,219.012,1.34484,1.79818,1.31142,0.5878,0.59027,0.577,0.37864,1.37848,1.76753,1.40478,0.000692794,0.000692794,0.000692794
5,270.286,1.30281,1.64307,1.26767,0.61911,0.62713,0.61254,0.39841,1.3713,1.61033,1.35192,0.000685726,0.000685726,0.000685726
6,321.377,1.24991,1.4838,1.22261,0.65931,0.66656,0.65917,0.43244,1.36161,1.56907,1.34293,0.000678657,0.000678657,0.000678657
7,372.795,1.23505,1.38285,1.21484,0.86366,0.65173,0.78066,0.52806,1.32538,1.30755,1.34378,0.000671588,0.000671588,0.000671588
8,423.893,1.20285,1.31147,1.20611,0.73948,0.72551,0.74577,0.49551,1.32349,1.39109,1.3334,0.00066452,0.00066452,0.00066452
9,475.724,1.15969,1.26882,1.1831,0.73044,0.72287,0.74279,0.50654,1.25524,1.43675,1.28914,0.000657451,0.000657451,0.000657451
10,526.843,1.16556,1.26413,1.18146,0.80129,0.75425,0.7859,0.53831,1.31864,1.26642,1.30227,0.000650383,0.000650383,0.000650383
11,578.173,1.12557,1.15705,1.15202,0.78769,0.788,0.80309,0.55194,1.33422,1.1533,1.31946,0.000643314,0.000643314,0.000643314
12,631.853,1.12811,1.14369,1.15003,0.87091,0.74066,0.81527,0.54484,1.34983,1.12432,1.33906,0.000636245,0.000636245,0.000636245
13,684.412,1.11067,1.10854,1.16173,0.81044,0.75929,0.81504,0.56795,1.32671,1.19474,1.34072,0.000629177,0.000629177,0.000629177
14,733.708,1.1065,1.11328,1.15375,0.889,0.74488,0.82584,0.56578,1.32947,1.12389,1.32278,0.000622108,0.000622108,0.000622108
15,786.41,1.10166,1.09326,1.14922,0.84755,0.75059,0.80641,0.55387,1.30056,1.16228,1.32272,0.00061504,0.00061504,0.00061504
16,839.652,1.0832,1.04908,1.1341,0.81461,0.75188,0.81888,0.5616,1.305,1.16355,1.30962,0.000607971,0.000607971,0.000607971
17,892.414,1.0364,1.00239,1.11766,0.87424,0.76971,0.82989,0.58758,1.25692,1.05565,1.27334,0.000600902,0.000600902,0.000600902
18,943.721,1.04252,0.98562,1.10227,0.88048,0.72368,0.81578,0.55133,1.3218,1.11786,1.32379,0.000593834,0.000593834,0.000593834
